Part No,Revision,Name,Containers,Operation Code,Operation No,Serial No,Card No,Material Code,Heat Code,Heat No,Quantity,Net Weight,Location,Container Type,Container Status,Note,Shipper Container Exists,Lot No,Master Unit No,Operation Type,Defect Type,Active,Job No,Unit,Customer Part No,Tracking No,Part Name,Linear Weight,Expiration Date,Accounting Job No,Accounting Job Status,Accounting Job Status Color,Add Date,Inventory Type,Job Template,Job Template No,Job Template Status,Supplier Code,Part Count
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2445774,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 9:56 AM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2445781,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 9:58 AM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2446101,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 11:21 AM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2446872,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 1:58 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2442635,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/25/2022, 1:35 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2443009,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/25/2022, 3:12 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2443151,,,,,10,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/25/2022, 3:28 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2443336,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/25/2022, 4:29 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2447657,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 4:47 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2450110,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"3/1/2022, 9:18 AM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2447206,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 3:20 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2447164,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 3:11 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2447308,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 3:38 PM",false,,-1,,,"0"
FGBMGO00001-SE,23,Glass Run Front base LH Service Part,1,PACK,140,GO2446939,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Production - Simplified,,1,253218,pcs,BMW AG,3019118242,Glass Run Front base LH Service Part,,,,,,"2/28/2022, 2:17 PM",false,,-1,,,"0"
FGBMGO00002-SE,23,Glass Run Front base RH Service Part,1,Inspect & Pack No PtBox,140,GO2446365,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Prod - Simplified no PtBox,,1,251826,pcs,BMW AG,3019118242,Glass Run Front base RH Service Part,,,,,,"2/28/2022, 12:35 PM",false,,-1,,,"0"
FGBMGO00002-SE,23,Glass Run Front base RH Service Part,1,Inspect & Pack No PtBox,140,GO2446105,,,,,7,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Prod - Simplified no PtBox,,1,251826,pcs,BMW AG,3019118242,Glass Run Front base RH Service Part,,,,,,"2/28/2022, 11:23 AM",false,,-1,,,"0"
FGBMGO00002-SE,23,Glass Run Front base RH Service Part,1,Inspect & Pack No PtBox,140,GO2451288,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Prod - Simplified no PtBox,,1,255332,pcs,BMW AG,3019118242,Glass Run Front base RH Service Part,,,,,,"3/1/2022, 2:07 PM",false,,-1,,,"0"
FGBMGO00002-SE,23,Glass Run Front base RH Service Part,1,Inspect & Pack No PtBox,140,GO2451106,,,,,19,"0",Obsoleto isla carton,U44,OK,,"0",,M103677,Prod - Simplified no PtBox,,1,255332,pcs,BMW AG,3019118242,Glass Run Front base RH Service Part,,,,,,"3/1/2022, 1:24 PM",false,,-1,,,"0"
