cell_name,part_numbers,description,rate_per_hour,pieces_per_container,family,visual_id
BMW Tailgate/Liftgate,FGBMGO00031-SL-01,LIFTGATE G20 BMW,70,77,Produccion Regular,
BMW Tailgate/Liftgate,FGBMGO00036-DC,G42 TAILGATE BMW,70,55,Servicios,
BMW Tailgate/Liftgate,FGBMGO00036-SE,G42 TAILGATE BMW,70,55,Servicios,
BMW Tailgate/Liftgate,FGBMGO00036-SL,G42 TAILGATE BMW,70,55,Produccion Regular,
727 Primarios,FGFOGO00009-CU-02,CX727 Primary Front LH,84,154,Produccion Regular,Amarillo
727 Primarios,FGFOGO00009-NA-02,CX727 Primary Front LH,84,154,Servicios,Amarillo
727 Primarios,FGFOGO00009-SE-02,CX727 Primary Front LH,84,154,Servicios,Amarillo
727 Primarios,FGFOGO00010-CU-02,CX727 Primary Front RH,84,154,Produccion Regular,Naranja
727 Primarios,FGFOGO00010-NA-02,CX727 Primary Front RH,84,154,Servicios,Naranja
727 Primarios,FGFOGO00010-SE-02,CX727 Primary Front RH,84,154,Servicios,Naranja
727 Primarios,FGFOGO00010-SE-03,CX727 Primary Front RH,84,154,Servicios,Naranja
727 Primarios,FGFOGO00011-CU-02,CX727 Primary Rear LH,84,154,Produccion Regular,Rosa
727 Primarios,FGFOGO00011-CU-03,CX727 Primary Rear LH,84,154,Produccion Regular,Rosa
727 Primarios,FGFOGO00011-GPIRS-02,CX727 Primary Rear LH,84,154,Servicios,Rosa
727 Primarios,FGFOGO00011-GPIRS-03,CX727 Primary Rear LH,84,154,Servicios,Rosa
727 Primarios,FGFOGO00011-NA-02,CX727 Primary Rear LH,84,154,Servicios,Rosa
727 Primarios,FGFOGO00011-NA-03,CX727 Primary Rear LH,84,154,Servicios,Rosa
727 Primarios,FGFOGO00011-SE-02,CX727 Primary Rear LH,84,154,Servicios,Rosa
727 Primarios,FGFOGO00011-SE-03,CX727 Primary Rear LH,84,154,Servicios,Rosa
727 Primarios,FGFOGO00012-CU-02,CX727 Primary Rear RH,84,154,Produccion Regular,Verde Menta
727 Primarios,FGFOGO00012-CU-03,CX727 Primary Rear RH,84,154,Produccion Regular,Verde Menta
727 Primarios,FGFOGO00012-GPIRS-02,CX727 Primary Rear RH,84,154,Servicios,Verde Menta
727 Primarios,FGFOGO00012-GPIRS-03,CX727 Primary Rear RH,84,154,Servicios,Verde Menta
727 Primarios,FGFOGO00012-NA-02,CX727 Primary Rear RH,84,154,Servicios,Verde Menta
727 Primarios,FGFOGO00012-NA-03,CX727 Primary Rear RH,84,154,Servicios,Verde Menta
727 Primarios,FGFOGO00012-SE-02,CX727 Primary Rear RH,84,154,Servicios,Verde Menta
727 Primarios,FGFOGO00012-SE-03,CX727 Primary Rear RH,84,154,Servicios,Verde Menta
727 Primarios,FGFOGO00019-CU-02,CX727 Hood Seal Frunk,84,154,Produccion Regular,Blanco
727 Primarios,FGFOGO00019-CU-03,CX727 Hood Seal Frunk,84,154,Produccion Regular,Blanco
